Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Liquid Name,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Public Evacuations,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
20100016,2010,01-01-10 7:15,ONEOK NGL PIPELINE LP,KINDER MORGAN JCT,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),NaN,MCPHERSON,MCPHERSON,KS,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,21,0.1,0,21,NO,NO,NO,NaN,110,1517,0,0,0,0,1627
20100254,2010,01-04-10 8:30,PORTLAND PIPELINE CORP,24-INCH MAIN LINE,ONSHORE,ABOVEGROUND,CRUDE OIL,NaN,NaN,RAYMOND,CUMBERLAND,ME,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,0,0.12,0,NO,NO,NaN,NaN,4000,8,0,0,0,0,4008
20100038,2010,01-05-10 10:30,"PETROLOGISTICS OLEFINS, LLC",NaN,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,ETHANE,SULPHER,CALCASIEU,LA,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,2,0,0,2,NO,NO,NaN,NaN,0,200,0,0,0,0,200
20100260,2010,01-06-10 19:30,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",SUPERIOR TERMINAL,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,SUPERIOR,DOUGLAS,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.48,0,0.48,0,NO,NO,NaN,NaN,200,40,0,11300,0,0,11540
20100030,2010,01-07-10 13:00,"PLAINS PIPELINE, L.P.",RED RIVER EAST,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,SHERMAN,GRAYSON,TX,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,700,NaN,698,2,NO,NO,NO,NaN,20000,150,0,7500,2000,0,29650
20100021,2010,01-08-10 23:38,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",NaN,ONSHORE,UNDERGROUND,CRUDE OIL,NaN,NaN,NECHE,PEMBINA,ND,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3784,0,1547,2237,NO,NO,YES,0,76940,167775,150000,1800000,2000000,0,4194715
20110036,2010,01-09-10 0:15,"KINDER MORGAN LIQUID TERMINALS, LLC",NaN,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,GALENA PARK,HARRIS,TX,MATERIAL/WELD/EQUIP FAILURE,ENVIRONMENTAL CRACKING-RELATED,35,0,30,5,NO,NO,NO,NaN,0,400,0,0,70000,0,70400
20100255,2010,01-09-10 1:12,MOBIL CORP,HULL STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LPG (LIQUEFIED PETROLEUM GAS) / NGL (NATURAL GAS LIQUID),NaN,HULL,LIBERTY,TX,NATURAL FORCE DAMAGE,TEMPERATURE,0.24,0,0,0.24,NO,NO,NaN,NaN,400,13,0,0,0,0,413
20100261,2010,01-10-10 19:46,"KINDER MORGAN LIQUID TERMINALS, LLC",NaN,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",NaN,NaN,NaN,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.4,0,0.4,0,NO,NO,NaN,NaN,0,336,0,0,40000,0,40336
20100024,2010,01-11-10 14:30,CONOCOPHILLIPS,TANK 1501,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),NaN,PASADENA,HARRIS,TX,ALL OTHER CAUSES,MISCELLANEOUS,0.48,0,0.48,0,NO,NO,NO,NaN,0,50,0,10000,10000,10000,30050
