,Unnamed: 0,Report Number,Accident Year,Accident Date/Time,Operator Name,Pipeline/Facility Name,Pipeline Location,Pipeline Type,Liquid Type,Liquid Subtype,Accident City,Accident County,Accident State,Cause Category,Cause Subcategory,Unintentional Release (Barrels),Intentional Release (Barrels),Liquid Recovery (Barrels),Net Loss (Barrels),Liquid Ignition,Liquid Explosion,Pipeline Shutdown,Property Damage Costs,Lost Commodity Costs,Public/Private Property Damage Costs,Emergency Response Costs,Environmental Remediation Costs,Other Costs,All Costs
492,492,20110196,2011,5/31/2011 3:05 PM,"MAGELLAN PIPELINE COMPANY, LP",,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MIXTURE OF REFINED PRODUCTS (TRANSMIX OR OTHER MIXTURE),LONG GROVE,,IA,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.35,0.0,0.35,0.0,NO,NO,,2000.0,50.0,0.0,0.0,15000.0,0.0,17050
356,356,20110072,2011,01-07-11 18:05,"KINDER MORGAN LIQUID TERMINALS, LLC",,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),PASADENA,HARRIS,TX,ALL OTHER CAUSES,MISCELLANEOUS,0.71,0.0,0.0,0.71,NO,NO,NO,35000.0,60.0,0.0,0.0,11000.0,0.0,46060
1808,1808,20140374,2014,9/25/2014 9:15 AM,"KOCH PIPELINE COMPANY, L.P.",MINNESOTA PIPELINE 2,ONSHORE,UNDERGROUND,CRUDE OIL,,LINO LAKES,ANOKA,MN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,3.93,,3.93,0.0,NO,NO,NO,0.0,368.0,0.0,93204.0,0.0,922664.0,1016236
2600,2600,20160244,2016,7/14/2016 11:42 AM,"SHELL PIPELINE CO., L.P.",NAPOLEONVILLE PUMP STATION,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OTHER HVL,BELLE ROSE,ASSUMPTION,LA,NATURAL FORCE DAMAGE,LIGHTNING,16.91,0.0,0.0,16.91,YES,NO,NO,850000.0,0.0,0.0,150000.0,0.0,0.0,1000000
2367,2367,20150467,2015,12-11-15 10:30,ENTERPRISE CRUDE PIPELINE LLC,HOBBS STATION,ONSHORE,UNDERGROUND,CRUDE OIL,,HOBBS,LEA,NM,CORROSION,INTERNAL,1.5,,1.5,0.0,NO,NO,YES,9000.0,45.0,0.0,0.0,0.0,0.0,9045
1274,1274,20130253,2013,06-12-13 16:00,ALYESKA PIPELINE SERVICE CO,RGV-35A,ONSHORE,ABOVEGROUND,CRUDE OIL,,COLDFOOT,,AK,NATURAL FORCE DAMAGE,TEMPERATURE,0.52,,0.52,0.0,NO,NO,NO,5000.0,0.0,0.0,0.0,50000.0,0.0,55000
919,919,20120264,2012,8/15/2012 6:15 PM,"PLAINS PIPELINE, L.P.",NEW HOBBS TO LLANO GRANDE 6 INCH,ONSHORE,UNDERGROUND,CRUDE OIL,,HOBBS,LEA,NM,CORROSION,INTERNAL,4.0,0.0,4.0,0.0,NO,NO,YES,6500.0,300.0,0.0,600.0,0.0,0.0,7400
1884,1884,20140438,2014,12-03-14 8:45,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",PE/SUPERIOR TERMINAL,ONSHORE,ABOVEGROUND,CRUDE OIL,,SUPERIOR,DOUGLAS,WI,INCORRECT OPERATION,INCORRECT INSTALLATION,5.95,,5.95,0.0,NO,NO,NO,19784.0,168.0,0.0,15976.0,5950.0,0.0,41878
1574,1574,20140271,2014,3/14/2014 12:30 AM,"BUCKEYE PARTNERS, LP",162,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GASOLINE (NON-ETHANOL),KANKAKEE,KANKAKEE,IL,OTHER OUTSIDE FORCE DAMAGE,ELECTRICAL ARCING FROM OTHER EQUIPMENT/FACILITY,5.0,,5.0,0.0,NO,NO,NO,252249.0,0.0,0.0,1006918.0,747951.0,0.0,2007118
1128,1128,20130094,2013,2/14/2013 11:40 AM,"MAGELLAN PIPELINE COMPANY, LP",RIVERSIDE TANK FARM,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID","DIESEL, FUEL OIL, KEROSENE, JET FUEL",RIVERESIDE,PLATTE,MO,INCORRECT OPERATION,INCORRECT INSTALLATION,0.8,,0.5,0.3,NO,NO,NO,8000.0,122.0,0.0,5000.0,0.0,0.0,13122
